1 1430 150 1278
2 1410 228 1182
3 1510 292 1284
4 1795 409 1350
5 1743 400 1268
6 1600 378 1216
7 1815 460 1219
8 1897 508 1318
9 1760 549 1223
10 1675 623 1273
11 1591 680 1328
12 1650 728 1293
13 1530 860 1268
14 1730 941 1390
15 1500 973 1228
16 1803 992 1132
17 1400 954 1130
18 1207 853 1142
19 1274 794 1190
20 1508 722 1183
21 1550 630 1108
22 1430 541 1061
23 1600 443 1062
24 1321 336 1068
25 1315 222 1090
26 1440 76 1120
27 1580 95 1004
28 1627 205 958
29 1500 340 923
30 1182 508 948
31 1204 612 960
32 1200 729 955
33 1518 772 1050
34 1070 963 1031
35 1420 933 945
36 1048 891 845
37 993 778 850
38 1310 643 871
39 1611 639 804
40 1400 510 849
41 1500 368 807
42 1930 280 843
43 1602 89 832
44 1628 132 682
45 1700 263 676
46 1530 403 667
47 1420 562 652
48 1100 734 672
49 1438 842 640
50 810 992 617
51 910 917 543
52 1200 795 531
53 1200 693 562
54 1420 539 538
55 1815 423 492
56 1758 349 563
57 1724 214 526
58 1600 37 537
59 1590 34 441
60 1621 149 463
61 1754 258 393
62 2030 322 422
63 1700 468 353
64 1531 574 390
65 1121 708 429
66 870 884 400
67 1250 988 354
68 800 972 248
69 1100 880 256
70 1446 783 250
71 1268 683 208
72 1423 549 240
73 1741 356 235
74 1608 191 303
75 1807 181 220
76 1590 102 276
77 1422 48 179
78 1199 93 68
79 1561 190 116
80 1594 297 175
81 1502 338 67
82 1550 446 169
83 1500 453 82
84 1417 605 53
85 1172 741 107
86 1100 854 96
87 889 969 42
